,Car,Price,Year,Region,Body,Engine_volume,Mileage,Transmission,Steering_wheel,Color
366,Mitsubishi L200,4700000,2007,Алматы,внедорожник,3,180000,автомат,слева,черный
367,Hyundai Solaris,3100000,2016,Актобе,седан,1.6,98000,механика,слева,серебристый
368,ВАЗ (Lada) 1117 (универсал),1250000,2011,Аральск,универсал,1.6,241000,механика,слева,коричневый
369,Renault Logan,6000000,2019,Караганда,седан,1.6,24000,механика,слева,черный
370,Toyota Camry,3000000,1997,Караганда,седан,3,290000,автомат,слева,серый
371,Cadillac STS,2300000,2007,Караганда,седан,3.6,0,автомат,слева,черный металлик
372,Toyota Land Cruiser Prado,16500000,2013,Алматы,внедорожник,4,135000,автомат,слева,черный
373,ВАЗ (Lada) 2104,1550000,2012,Шымкент,универсал,1.6,70000,механика,слева,синий
374,Mercedes-Benz C 180,2700000,1998,Нур-Султан (Астана),седан,1.8,358222,автомат,слева,серебристый
375,Hyundai Getz,2350000,2008,Байконыр,хэтчбек,1.4,160000,автомат,слева,передний привод
376,BMW 523,1500000,1997,Жезказган,седан,2.5,0,автомат,слева,серый
377,Opel Vectra,1890000,1997,Караганда,хэтчбек,1.8,0,механика,слева,синий металлик
378,Mercedes-Benz Vito,2500000,1999,Нур-Султан (Астана),минивэн,2.2,0,механика,слева,белый
379,Mercedes-Benz C 180,2200000,1995,Нур-Султан (Астана),седан,1.8,0,автомат,слева,коричневый
380,ВАЗ (Lada) 2190 (седан),2200000,2012,Кокшетау,седан,1.6,85000,механика,слева,синий
381,Toyota Camry,9600000,2013,Шымкент,седан,2.5,140000,автомат,слева,белый
382,Subaru Forester,4100000,2005,Алматы,кроссовер,2.5,196339,автомат,слева,зеленый металлик
383,Mercedes-Benz Vario,4300000,2000,Шымкент,фургон,2.9,0,механика,слева,белый
384,Volkswagen Touareg,2800000,2004,Актобе,кроссовер,4.2,295000,автомат,слева,серый металлик
385,Nissan Xterra,5000000,2009,Атырау,внедорожник,4,0,автомат,слева,черный
386,ВАЗ (Lada) 2172 (хэтчбек),2500000,2014,Нур-Султан (Астана),хэтчбек,1.6,0,механика,слева,белый
387,Geely Emgrand 7,2000000,2013,Алматы,хэтчбек,1.8,195000,вариатор,слева,черный металлик
